stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
PG69,,PG69-Parada 2 / Paradero 17 Gran Avenida,-33.5150043824932,-70.6580008639812,
PH124,,PH124-Parada / Paradero 15 Gran Avenida,-33.5115751211373,-70.6570332790835,
PH125,,PH125-Parada / Paradero 14 Gran Avenida,-33.5082622905435,-70.6561250503718,
PH126,,PH126-Parada / Paradero 13 Gran Avenida,-33.5054600386003,-70.6553396494837,
PH127,,PH127-Parada 2 / (M) Departamental,-33.5038904380309,-70.6549007035144,
PH128,,PH128-Parada / Colegio Chile,-33.5011436887898,-70.6540776920096,
PH129,,PH129-Parada 2 / Paradero 11 Gran Avenida,-33.4984977322886,-70.6533373827428,
PH130,,PH130-Parada / Paradero 9 1/2 Gran Avenida,-33.4953011499259,-70.6524327382096,
PH131,,PH131-Parada / Paradero 9 Gran Avenida,-33.4929453287015,-70.6517776951303,
PH132,,PH132-Parada 2 / Paradero 8 Gran Avenida,-33.4902775230045,-70.651118920381,
PH133,,PH133-Parada 2 / Municipalidad De San Miguel,-33.4870050954218,-70.6502194746095,
PH134,,PH134-Parada 2 / Hospital Barros Luco,-33.4846076820447,-70.64957130858,
PH135,,PH135-Parada 2 / Paradero 3 Gran Avenida,-33.4799031858751,-70.648195014275,
PA63,,PA63-Parada 2 / (M) Franklin,-33.4758755517522,-70.6481348719533,
PA64,,PA64-San Diego / Esq. Schiavett,-33.4729686801023,-70.6482928892006,
PA65,,PA65-San Diego / Esq. Ñuble,-33.469922904364,-70.6484525737727,
PA66,,PA66-Parada / Liceo Barros Borgoño,-33.4663234895513,-70.648673859676,
PA67,,PA67-San Diego / Esq. Santiago,-33.4629203925593,-70.6488482814129,
PA68,,PA68-San Diego / Esq. Av. Manuel A. Matta,-33.4597830355113,-70.649044942409,
PA69,,PA69-Parada / Teatro Caupolicán,-33.4558347906664,-70.6496587396763,
PA70,,PA70-San Diego / Esq. Eyzaguirre,-33.4534389540151,-70.6500415474446,
PA72,,PA72-Parada 2 / Parque Almagro,-33.4506620256544,-70.6504633763719,
PA717,,PA717-Tarapacá / Esq. Zenteno,-33.4475238322875,-70.65207459329,
PA212,,PA212-Tarapacá / Esq. Lord Cochrane,-33.447748644761,-70.6540141722648,
PA720,,PA720-Lord Cochrane / Esq. Alameda,-33.4455652054817,-70.6553055692569,
PA218,,PA218-Hermanos Amunátegui / Esq. Moneda,-33.4426433607884,-70.6559750892957,
PA718,,PA718-Hermanos Amunátegui / Esq. Catedral,-33.4382274728536,-70.656758154092,
PA719,,PA719-Hermanos Amunátegui / Esq. San Pablo,-33.4348681023587,-70.6572353298967,
PA87,,PA87-Parada 7 / Estación Mapocho,-33.4329993213638,-70.6523908346011,
PB211,,PB211-Parada / Vega Central,-33.4306327046375,-70.6515963079399,
PB212,,PB212-Parada / Terminal Lastra,-33.4288523363866,-70.6514055503843,
PB213,,PB213-Avenida La Paz / Esq. Juárez Larga,-33.4256550534965,-70.651157854636,
PB221,,PB221-Parada 4 / Einstein - Independencia,-33.4048635837582,-70.6623382431013,
PB277,,PB277-Av. Independencia / Esq. Recabarren,-33.4009755647765,-70.6659144638091,
PB278,,PB278-Av. Independencia / Esq. J. Pérez Cotapos,-33.3996869492045,-70.6673822124455,
PB1645,,PB1645-Parada 2 / (M) Conchalí,-33.3981337126866,-70.6690781676582,
PB280,,PB280-Av. Independencia / Esq. Aviador Acevedo,-33.3959562795996,-70.6715845899517,
PB281,,PB281-Av. Independencia / Esq. Teniente Ponce,-33.3935085365458,-70.6733352853648,
PB227,,PB227-Av. Independencia / Esq. Elcira Espinoza,-33.3907658333431,-70.6750888263211,
PB283,,PB283-Av. Independencia / Esq. Doctor Asenjo,-33.3882808027004,-70.6771256424692,
PB1708,,PB1708-Parada 2 / (M) Vivaceta,-33.3852659007461,-70.679596129534,
PB285,,PB285-Av. Independencia / Esq. Juncal,-33.3831230788598,-70.6814640633883,
PB286,,PB286-Av. Independencia / Esq. Uno Sur,-33.3813386620662,-70.6826379493396,
PB232,,PB232-Av. Independencia / Esq. Uno Norte,-33.3791008835115,-70.6834601495796,
PB233,,PB233-Parada 2 / (M) Cardenal Caro,-33.3744900683177,-70.6858316533582,
PB234,,PB234-Av. Independencia / Esq. Barranquilla,-33.371491839797,-70.6875289893875,
PB290,,PB290-Av. Independencia / Esq. Asunción,-33.3691033815543,-70.6884867191132,
PB236,,PB236-Parada 2 / (M) Los Libertadores,-33.3668329978606,-70.6891178031673,
PB237,,PB237-Calle 1 / Esq. Real Audiencia,-33.3638665611366,-70.6888766893623,
PB1491,,PB1491-San Pedro De Atacama / Esq. Lluta,-33.3598044132541,-70.6895612222574,
PB243,,PB243-San Pedro De Atacama / Esq. Isluga,-33.3600294286863,-70.6870110486464,
PB1564,,PB1564-San Pedro De Atacama / Esq. Lasaña,-33.360179319379,-70.6856050283394,
PB1626,,PB1626-Mejillones / Esq. Pajonales,-33.3592263338689,-70.6845915027046,
PB240,,PB240-Mejillones / Esq. Los Libertadores,-33.3594233684783,-70.6825007540594,
PB1624,,PB1624-Parada 1 / Terminal Los Libertadores,-33.3617017516045,-70.6818761441705,
PB299,,PB299-Avenida Recoleta / Esq. Industrial,-33.3807714075241,-70.6395744022693,
PB300,,PB300-Avenida Recoleta / Esq. Av. A. Vespucio,-33.3824693276111,-70.6402738335206,
PB1369,,PB1369-Avenida Recoleta / Esq. Oscar Castro,-33.3845653609914,-70.6410785987636,
PB301,,PB301-Avenida Recoleta / Esq. M. Luisa Bombal,-33.3860001515623,-70.6416935946103,
PB302,,PB302-Avenida Recoleta / Esq. Alfredo Rosende,-33.3883387396959,-70.6423643122285,
PB303,,PB303-Parada 3 / (M) Zapadores,-33.3914964966449,-70.642535520684,
PB304,,PB304-Avenida Recoleta / Esq. Urmeneta,-33.3933028686255,-70.6426716413449,
PB305,,PB305-Parada 1 / (M) Dorsal,-33.3961617584808,-70.6428017741084,
PB1728,,PB1728-Avenida Recoleta / Esq. Emiliano Zapata,-33.3990175818271,-70.6428910051732,
PB306,,PB306-Avenida Recoleta / Esq. Muñoz Gamero,-33.4006523566401,-70.642977687942,
PB307,,PB307-Avenida Recoleta / Esq. Diag. José M. Caro,-33.4031343278339,-70.6431039810576,
PB308,,PB308-Parada 1 / (M) Einstein,-33.4054078412744,-70.6432403371417,
PB309,,PB309-Avenida Recoleta / Esq. Avenida México,-33.4079924932115,-70.6433761115043,
PB310,,PB310-Avenida Recoleta / Esq. Saliano,-33.4105407483502,-70.6434681989772,
PB311,,PB311-Parada 3 / (M) Cementerios,-33.4134343800708,-70.6436979951825,
PB312,,PB312-Avenida Recoleta / Esq. El Salto Chico,-33.4171755722149,-70.6438717338109,
PB313,,PB313-Avenida Recoleta / Esq. Urrutia,-33.4188676464095,-70.6440574110262,
PB314,,PB314-Parada 1 / (M) Cerro Blanco,-33.4216291971196,-70.644793459307,
PB315,,PB315-Avenida Recoleta / Esq. Olivos,-33.4248493042609,-70.6457683669637,
PB316,,PB316-Parada / Clínica Dávila,-33.4270791215091,-70.6464095203787,
PB317,,PB317-Parada / (M) Patronato,-33.4293077174607,-70.6470743479843,
PB318,,PB318-Parada 3 / Recoleta Franciscana,-33.4315659041756,-70.6479548861949,
PA88,,PA88-Parada 7 / Mercado Central,-33.4336462230673,-70.6489859186605,
PA195,,PA195-Parada 1 / Monjitas - San Antonio,-33.4366770884359,-70.648660333573,
